Sample Ref,Location,TP No.,Depth,variable,value
130-3,Central Area,10,2.0,10.0,81.1
130-3,Central Area,10,2.0,20.0,87.1
130-3,Central Area,10,2.0,50.0,95.2
130-3,Central Area,10,2.0,63.0,100.0
130-3,Central Area,10,2.0,100.0,100.0
131-3,Central Area,11,0.5,0.001,9.5
131-3,Central Area,11,0.5,0.063,36.3
131-3,Central Area,11,0.5,10.0,77.2
131-3,Central Area,11,0.5,20.0,83.2
131-3,Central Area,11,0.5,50.0,94.2
131-3,Central Area,11,0.5,63.0,100.0
131-3,Central Area,11,0.5,100.0,100.0
132-3,Central Area,11,1.0,0.001,6.7
132-3,Central Area,11,1.0,0.063,41.3
132-3,Central Area,11,1.0,10.0,78.9
132-3,Central Area,11,1.0,20.0,84.7
132-3,Central Area,11,1.0,50.0,95.3
132-3,Central Area,11,1.0,63.0,96.5
132-3,Central Area,11,1.0,100.0,100.0
133-3,Central Area,11,2.0,0.001,8.8
133-3,Central Area,11,2.0,0.063,38.0
133-3,Central Area,11,2.0,10.0,77.7
133-3,Central Area,11,2.0,20.0,81.3
133-3,Central Area,11,2.0,50.0,93.2
133-3,Central Area,11,2.0,63.0,100.0
133-3,Central Area,11,2.0,100.0,100.0
